"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:10:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:10:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
